GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Contributors,Age
batra-mlp-lab/visdial-challenge-starter-pytorch,N,162,120,1510,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/issues/23 and https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/issues/32 but not very often",https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,5,1895
bethgelab/siamese-mask-rcnn,N,218,174,8081,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/matterport/Mask_RCNN/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,Open issues more than closed,https://github.com/matterport/Mask_RCNN/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,2,1930
beyretb/AnimalAI-Olympics,N,516,312,1876,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/beyretb/AnimalAI-Olympics/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/beyretb/AnimalAI-Olympics/issues/83 and https://github.com/beyretb/AnimalAI-Olympics/issues/91","There is no license to be found, either in the form of a license file or written inside the source code file.",There are files related to testing,6,1551
biolib/openprotein,N,117,163,2241,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/biolib/openprotein/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,Open issues more than closed,https://github.com/biolib/openprotein/blob/master/LICENSE is provided.,There are files related to testing,2,1834
black0017/MedicalZooPytorch,N,189,113,6096,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/black0017/MedicalZooPytorch/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/black0017/MedicalZooPytorch/issues/3 and https://github.com/black0017/MedicalZooPytorch/issues/4",https://github.com/black0017/MedicalZooPytorch/blob/master/LICENSE.md is provided.,There are many files related to testing,4,1521
carefree0910/MachineLearning,N,838,551,27017,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/carefree0910/MachineLearning/issues/4 and https://github.com/carefree0910/MachineLearning/issues/7",https://github.com/carefree0910/MachineLearning/blob/master/LICENSE is provided.,There are many files related to testing,2,2559
colearninglounge/co-learning-lounge,N,322,222,13776,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/colearninglounge/co-learning-lounge/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained documentation,Evidence of sustained commit activity but not stable,Open issues more than closed,"There is no license to be found, either in the form of a license file or written inside the source code file.","There is no evidence of testing however, the project is mainly on Jupyter so testing may be on the jupyter notebooks",45,1526
DagnyT/hardnet,N,303,100,4265,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DagnyT/hardnet/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Some of the functions are documented,No evidence of sustained commit activity,"The project maintainers respond to issues, but mainly not resolved as there's no response from users",https://github.com/DagnyT/hardnet/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,3,2306
danielhanchen/hyperlearn,N,1166,204,5557,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/danielegrattarola/spektral/graphs/contributors only has 2 contributers,CI is not used on the project.,Most of the functions in the source code are not documented.,Checking https://github.com/danielhanchen/hyperlearn/pulse/monthly there has only been 1 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/danielhanchen/hyperlearn/issues/20",https://github.com/danielhanchen/hyperlearn/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,4,1848
data-science-on-aws/workshop,N,142,1115,145801,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/data-science-on-aws/workshop/graphs/contributors only has 3 contributers,CI is not used on the project.,Most of the functions in the source code are not documented.,Checking https://github.com/data-science-on-aws/workshop/pulse/monthly there has been significant commit activity in the past month.,There aren't any open issues,"There is no license to be found, either in the form of a license file or written as comments in the source code files.",There is no evidence of any testing done on the project.,14,1298
digantamisra98/Mish,N,810,1681,1642,The source code of the project exists as ad-hoc scripts.,https://github.com/determined-ai/determined/graphs/contributors shows that there are only 3 contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/digantamisra98/Mish/blob/master/Mish/Torch/functional.py,Checking https://github.com/digantamisra98/Mish/pulse/monthly there has been minor commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/digantamisra98/Mish/issues/34",https://github.com/digantamisra98/Mish/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,4,1587
drscotthawley/panotti,N,222,307,2175,The source code of the project exists as ad-hoc scripts.,https://github.com/dmlc/dgl/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README and majority of the function in https://github.com/drscotthawley/panotti/blob/master/panotti/mixup_generator.py and https://github.com/drscotthawley/panotti/blob/master/panotti/models.py,Checking https://github.com/drscotthawley/panotti/pulse/monthly there has been only 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/drscotthawley/panotti/issues/39",https://github.com/drscotthawley/panotti/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2,2369
dsgiitr/d2l-pytorch,N,3210,187,4989,The source code of the project exists as ad-hoc scripts.,https://github.com/dsgiitr/d2l-pytorch/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README,Checking https://github.com/dsgiitr/d2l-pytorch/pulse/monthly there has been only 1 commit activity in the past month.,"The project maintainers hardly respond to issues, as evidenced by https://github.com/dsgiitr/d2l-pytorch/issues",https://github.com/dsgiitr/d2l-pytorch/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,23,1595
dwadden/dygiepp,N,114,379,5425,The source code of the project exists as ad-hoc scripts.,https://github.com/dwadden/dygiepp/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README and majority of the function in https://github.com/dwadden/dygiepp/blob/master/dygie/commands/predict_dygie.py,Checking https://github.com/dwadden/dygiepp/pulse/monthly there has been only 4 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/dwadden/dygiepp/issues/13","There is no license to be found, either in the form of a license file or written as comments in the source code files.",There are many files related to testing.,10,1675
eladhoffer/convNet.pytorch,N,240,159,4784,The source code of the project exists as ad-hoc scripts.,https://github.com/eladhoffer/convNet.pytorch/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README and majority of the function in https://github.com/eladhoffer/convNet.pytorch/blob/master/autoaugment.py,Checking https://github.com/eladhoffer/convNet.pytorch/pulse/monthly there has been only 1 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/eladhoffer/convNet.pytorch/issues/18",https://github.com/eladhoffer/convNet.pytorch/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2,2444
emadboctorx/yolov3-keras-tf2,N,556,111,4013,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,CI is not used on the project.,There is a well maintained README and documentation at https://github.com/emadboctorx/yolov3-keras-tf2/tree/master/Docs,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/emadboctorx/yolov3-keras-tf2/issues/3",https://github.com/emadboctorx/yolov3-keras-tf2/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,0,0
firmai/datagene,N,130,140,9221,The source code of the project exists as ad-hoc scripts.,https://github.com/firmai/datagene/graphs/contributors shows that there are 2 contributors.,CI is not used on the project.,There is a well maintained README but Most of the functions in the source code are not documented.,Checking https://github.com/firmai/datagene/pulse/monthly there has been 2 commit activity in the past month.,There aren't any open issues,"There is no license to be found, either in the form of a license file or written as comments in the source code files.",There is no evidence of any testing done on the project.,2,1221
fritzlabs/fritz-models,N,400,198,3479,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/fritzlabs/fritz-models/graphs/contributors that there are multiple contributors.,CI is not used on the project.,There is a well maintained README and documentations at https://github.com/fritzlabs/fritz-models/blob/master/style_transfer/README.md and https://github.com/fritzlabs/fritz-models/blob/master/object_detection/README.md,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/fritzlabs/fritz-models/issues/67",https://github.com/fritzlabs/fritz-models/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,0,0
funcwj/setk,N,154,235,6824,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,CI is not used on the project.,There is a well maintained README and documentations at https://github.com/funcwj/setk/tree/master/doc,Checking https://github.com/funcwj/setk/pulse/monthly there has been significant commit activity in the past month.,There aren't any open issues,https://github.com/funcwj/setk/blob/master/LICENSE is provided,There are many files related to testing.,2,2026
gjy3035/C-3-Framework,N,405,131,4303,The source code of the project exists as ad-hoc scripts.,https://github.com/gjy3035/C-3-Framework/graphs/contributors that there are multiple contributors.,CI is not used on the project.,Most of the functions in the source code are not documented.,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/gjy3035/C-3-Framework/issues/81",https://github.com/gjy3035/C-3-Framework/blob/python3.x/LICENSE is provided,There are few files related to testing.,5,1734
GoogleCloudPlatform/tensorflow-without-a-phd,N,2161,436,9902,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/tensorflow-without-a-phd/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,Do answer questions but not often,https://github.com/GoogleCloudPlatform/tensorflow-without-a-phd/blob/master/LICENSE is provided.,Can't find test files,11,1960
Ha0Tang/GestureGAN,N,116,162,1618,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/Ha0Tang/GestureGAN/issues/3 and https://github.com/Ha0Tang/GestureGAN/issues/2",https://github.com/Ha0Tang/GestureGAN/blob/master/LICENSE.md is provided.,There are files related to testing but its everywhere,1,1865
Ha0Tang/SelectionGAN,N,293,359,7773,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,CI is not used on the project.,Functions mentioned but not well documented,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/Ha0Tang/SelectionGAN/issues/7 and https://github.com/Ha0Tang/SelectionGAN/issues/6",https://github.com/Ha0Tang/SelectionGAN/blob/master/selectiongan_v1/LICENSE.md and https://github.com/Ha0Tang/SelectionGAN/blob/master/selectiongan_v2/LICENSE.md are provided.,There are files related to testing but its everywhere,1,1611
hamelsmu/code_search,N,416,162,18870,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/hamelsmu/code_search/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README,There is no commit in the past month,There aren't any open issues,https://github.com/hamelsmu/code_search/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,5,1952
hastagAB/Awesome-Python-Scripts,N,185,220,5579,The source code of the project exists as ad-hoc scripts.,https://github.com/hastagAB/Awesome-Python-Scripts/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README,Checking https://github.com/hastagAB/Awesome-Python-Scripts/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/hastagAB/Awesome-Python-Scripts/issues/53",https://github.com/hastagAB/Awesome-Python-Scripts/blob/master/LICENSE.txt is provided,There is no evidence of any testing done on the project.,120,1815
hrpan/tetris_mcts,N,292,398,5273,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,CI is not used on the project.,There is a well-maintained README,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/hrpan/tetris_mcts/issues/3","There is no license to be found, either in the form of a license file or written as comments in the source code files.",There is no evidence of any testing done on the project.,2,2035
hse-aml/natural-language-processing,N,841,171,1933,The source code of the project exists as ad-hoc scripts.,https://github.com/hse-aml/natural-language-processing/graphs/contributors that there are multiple contributors.,CI is not used on the project.,There is a well-maintained README,Checking https://github.com/hse-aml/natural-language-processing/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/hse-aml/natural-language-processing/issues/43","There is no license to be found, either in the form of a license file or written as comments in the source code files.",There is no evidence of any testing done on the project.,13,2124
hunkim/DeepLearningZeroToAll,N,3929,332,6870,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/hunkim/DeepLearningZeroToAll/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc. https://github.com/hunkim/DeepLearningZeroToAll/blob/master/CONTRIBUTING.md","There is a well maintained README, codes are well documented",Few commits in the last month: https://github.com/hunkim/DeepLearningZeroToAll/graphs/commit-activity,There aren't any open issues,There is no license,Only 1 test file,52,2404
hunkim/PyTorchZeroToAll,N,3268,114,1281,"Poorly organized, general naming convention, doesn't explain modules",Multiple contributors: https://github.com/hunkim/PyTorchZeroToAll/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are documented",Few commits in the last month: https://github.com/hunkim/PyTorchZeroToAll/graphs/commit-activity,"More open issues than closed issues, author does not respond frequently",There is no license,There is no evidence of any testing done on the project.,12,2172
huseinzol05/NLP-Models-Tensorflow,N,1304,273,85046,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/huseinzol05/NLP-Models-Tensorflow/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",Few commits in the last month: https://github.com/huseinzol05/NLP-Models-Tensorflow/graphs/commit-activity,Author does not respond frequently,https://github.com/huseinzol05/NLP-Models-Tensorflow/blob/master/LICENSE,There is no evidence of any testing done on the project.,2,1960
hysts/pytorch_image_classification,N,545,170,4643,"Poorly organized, general naming convention, doesn't explain modules",Only one contributor: https://github.com/hysts/pytorch_image_classification/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented","No commits in the past few months, around 12 commits in the last year","Only one issue, issues closed frequently: https://github.com/hysts/pytorch_image_classification/issues?q=is%3Aopen+is%3Aissue",https://github.com/hysts/pytorch_image_classification/blob/master/LICENSE,There is no evidence of any testing done on the project.,1,2112
jaakkopasanen/AutoEq,N,1688,419,5281,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/jaakkopasanen/AutoEq/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented","No commits the past month, active before that","More closed than open, author does not respond frequently",https://github.com/jaakkopasanen/AutoEq/blob/master/LICENSE,There is no evidence of any testing done on the project.,17,2027
jakeret/tf_unet,N,1604,209,967,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/jakeret/tf_unet/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented","No commits the past month, active before that","More closed than open, author does not respond frequently",https://github.com/jakeret/tf_unet/blob/master/LICENSE,There is no evidence of any testing done on the project.,12,2590
jantic/DeOldify,N,10478,389,3191,The source code of the project exists as ad-hoc scripts.,Multiple contributors: https://github.com/jantic/DeOldify/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented",No commits in the past month,"More closed than open, author does not respond frequently",https://github.com/jantic/DeOldify/blob/master/LICENSE,There is no evidence of any testing done on the project.,37,1786
JayYip/bert-multitask-learning,N,290,280,8627,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/JayYip/bert-multitask-learning/issues/44 and https://github.com/JayYip/bert-multitask-learning/issues/43",https://github.com/JayYip/bert-multitask-learning/blob/master/LICENSE is provided.,There are files related to testing but everywhere,7,1747
jessevig/bertviz,N,1807,195,7189,The source code of the project exists as ad-hoc scripts.,Multiple contributors: hhttps://github.com/jessevig/bertviz/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are not documented",No commits in the past month,"More closed than open, author does not respond frequently",https://github.com/jessevig/bertviz/blob/master/LICENSE,Only 1 test file,5,1740
jim-schwoebel/voicebook,N,169,636,12756,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/jim-schwoebel/voicebook/graphs/contributors,No indications of using CI services,"There is a well maintained README, some codes are documented",No commits in the past month,More closed issues than open. Project authors respond to issues: https://github.com/jim-schwoebel/voicebook/issues,https://github.com/jim-schwoebel/voicebook/blob/master/LICENSE,There are many files related to testing.,2,1912
jtyoui/Jtyoui,N,500,496,1475,The source code of the project exists as ad-hoc scripts.,Only one contributor: https://github.com/jtyoui/Jtyoui/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented",Few commits in the past month,There are no open issues,https://github.com/jtyoui/Jtyoui/blob/pyunit/LICENSE,There is no evidence of any testing done on the project.,1,150
Kaixhin/Rainbow,N,953,155,555,The source code of the project exists as ad-hoc scripts.,https://github.com/Kaixhin/Rainbow/graphs/contributors shows that there are multiple contributors but mainly 1 person,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/Kaixhin/Rainbow/issues/72 and https://github.com/Kaixhin/Rainbow/issues/70",https://github.com/Kaixhin/Rainbow/blob/master/LICENSE.md is provided.,Only found 1 file related to testing,10,2169
kdexd/virtex,N,187,165,3753,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Only one contributor: https://github.com/kdexd/virtex/graphs/contributors,No indications of using CI services,"There is a README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently: https://github.com/kdexd/virtex/issues/4",https://github.com/kdexd/virtex/blob/master/LICENSE,There is no evidence of any testing done on the project.,3,1466
kerlomz/captcha_platform,N,343,146,4901,The source code of the project exists as ad-hoc scripts.,Multiple contributors: https://github.com/kerlomz/captcha_platform/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, some codes are documented",Consistent commits in the last month,There are no open issues,https://github.com/kerlomz/captcha_platform/blob/master/LICENSE,There is no evidence of any testing done on the project.,2,1828
KevinMusgrave/powerful-benchmarker,N,135,162,5632,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/KevinMusgrave/powerful-benchmarker/issues/40 and https://github.com/KevinMusgrave/powerful-benchmarker/issues/39","There is no license to be found, either in the form of a license file or written inside the source code file.",There is no evidence of any testing done on the project.,1,1401
kleinee/jns,N,212,347,28,The source code of the project exists as ad-hoc scripts.,Multiple contributors (mainly one): https://github.com/kleinee/jns/graphs/contributors,No indications of using CI services,"There is a README, some codes are documented","No commits the past month, active before that",There are no open issues,https://github.com/kleinee/jns/blob/master/LICENSE.md,There is no evidence of any testing done on the project.,4,2833
knazeri/edge-connect,N,1751,112,1489,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors (mainly one): https://github.com/knazeri/edge-connect/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented","No commits the past month, active before that","More closed than open, author does not respond frequently",https://github.com/knazeri/edge-connect/blob/master/LICENSE.md,There is no evidence of any testing done on the project.,4,1741
kubeflow/examples,N,804,425,14024,The source code of the project exists as ad-hoc scripts.,https://github.com/kubeflow/examples/graphs/contributors shows that there are multiple contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/kubeflow/examples/blob/master/object_detection/serving_script/standard_fields.py and https://github.com/kubeflow/examples/blob/master/code_search/src/code_search/nmslib/search_engine.py and https://github.com/kubeflow/examples/blob/master/mnist/model.py have appropriate docstrings",https://github.com/kubeflow/examples/graphs/commit-activity shows there has been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/kubeflow/examples/issues/806 and https://github.com/kubeflow/examples/issues/798",https://github.com/kubeflow/examples/blob/master/LICENSE,There are many files related to testing,90,2057
loujie0822/DeepIE,N,228,223,13006,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author,CI is not used on the project,There is a well-maintained README but Most of the functions in the source code are not documented.,https://github.com/loujie0822/DeepIE/graphs/commit-activity shows there has been 1 commits in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/loujie0822/DeepIE/issues/46 and https://github.com/loujie0822/DeepIE/issues/27",No license,there is no evidence of any testing done on the project.,1,1353
LPDI-EPFL/masif,N,125,432,9344,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/LPDI-EPFL/masif/graphs/contributors shows that there are multiple contributors but mainly 1 person,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/LPDI-EPFL/masif/issues/10 and https://github.com/LPDI-EPFL/masif/issues/7",https://github.com/LPDI-EPFL/masif/blob/master/LICENSE is provided.,There are files related to testing but everywhere,3,1650
lufficc/SSD,N,833,117,2807,The source code of the project exists as ad-hoc scripts.,https://github.com/lufficc/SSD/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but Most of the functions in the source code are not documented.,https://github.com/lsds/KungFu/graphs/commit-activity shows there has been no activities in the past month,"The project maintainers respond to issues, as evidenced byhttps://github.com/lufficc/SSD/issues/150 and https://github.com/lufficc/SSD/issues/149",No license,One test file,9,1748
lukas/ml-class,N,1532,612,10852,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/lukas/ml-class/graphs/contributors shows that there are multiple contributors.,CI is not used on the project,There is a well-maintained README but Most of the functions in the source code are not documented.,https://github.com/lukas/ml-class/graphs/commit-activity shows there has been activities in the past without no activities in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/lukas/ml-class/issues/48 and https://github.com/lukas/ml-class/issues/40",No license,there is no evidence of any testing done on the project.,14,2942
Lyken17/pytorch-OpCounter,N,1785,107,523,The source code of the project exists as ad-hoc scripts.,https://github.com/Lyken17/pytorch-OpCounter/graphs/contributors shows that there are multiple contributors but mainly 1 person,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/Lyken17/pytorch-OpCounter/issues/57 and https://github.com/Lyken17/pytorch-OpCounter/issues/71",https://github.com/Lyken17/pytorch-OpCounter/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,17,2065
